"","PROM_GRAL_2018","PROM_GRAL_2019","GEN_ALU","ASISTENCIA_2018"
"641",6.3,6.1,"2",96
"642",6.1,5.9,"2",94
"643",5.1,5.4,"1",97
"644",6.2,6.4,"2",94
"645",6.9,6.9,"2",97
"646",4.9,5.3,"1",94
"647",5.1,5.3,"2",100
"648",5.5,5,"2",84
"649",5.8,5.9,"2",94
"650",5.3,5,"2",95
"651",5.2,5.5,"2",79
"652",5.4,4.6,"1",97
"653",5.4,5.4,"2",91
"654",5.8,5.7,"1",97
"655",5.2,5.4,"2",95
"656",6.7,6.5,"1",95
"657",5.6,4.5,"1",87
"658",5.5,5.9,"1",96
"659",6.1,6.2,"1",96
"660",5.5,6,"2",96
"661",5.8,6.3,"1",100
"662",6,5.4,"1",98
"663",5.4,5,"1",97
"664",5.6,5.4,"1",93
"665",5.5,5.3,"2",91
"666",6.8,6.8,"2",93
"667",6,5.9,"2",99
"668",6,4.8,"1",94
"669",5.8,6,"2",90
"670",5.6,5.5,"1",87
"671",6.7,5.8,"2",97
"672",5.9,6.5,"2",100
"673",5.4,5.7,"1",92
"674",5.4,5.3,"1",70
"675",6,6,"2",82
"676",6.2,6.3,"2",96
"677",5.2,5.2,"1",98
"678",5.4,5.1,"1",95
"679",5,5.1,"1",88
"680",5.1,4.4,"1",82
"681",6.1,5.9,"1",98
"682",6.1,6.3,"2",92
"683",5.6,5.1,"1",97
"684",6.7,6.8,"1",98
"685",5.7,5,"1",99
"686",6,5.1,"2",98
"687",6.4,6.1,"2",93
"688",6.4,6.3,"1",97
"689",5.3,4,"2",96
"690",4.8,4.7,"1",77
"691",5.7,5,"1",94
"692",6.7,6.4,"1",95
"693",5.9,6.4,"1",89
"694",5.6,5.1,"1",97
"695",5.8,6.7,"2",77
"696",6.2,6.4,"2",89
"697",6,5.6,"2",99
"698",5.7,6.1,"1",99
"699",4.5,5.5,"1",92
"700",5.1,5,"2",96
"701",5.9,5.3,"2",82
"702",5.9,5.5,"1",99
"703",5.2,4.7,"1",81
"704",4.9,5.2,"1",78
"705",6.3,5.6,"1",96
"706",5.7,5.8,"1",100
"707",5.3,5.1,"1",93
"708",5.5,5.6,"1",98
"709",6.5,6.7,"1",98
"710",4.8,4.2,"1",91
"711",6.7,6.6,"2",99
"712",5.7,5.9,"1",91
"713",5.6,5.5,"1",92
"714",5.4,5.9,"1",100
"715",6.9,6.9,"2",99
"716",6.4,6.5,"2",98
"717",4.9,5.1,"1",94
"718",6.3,5.4,"1",100
"719",6.5,6.4,"1",93
"720",5.1,5.5,"1",98
"721",5.3,4.8,"1",99
"722",5.9,5.5,"1",94
"723",5.5,6,"1",99
"724",5.9,6,"2",89
"725",5.2,5.3,"2",89
"726",6.1,5.9,"2",94
"727",6.7,6.5,"2",98
"728",4.8,4.7,"1",93
"729",5,5.3,"1",98
"730",6.5,6.5,"1",92
"731",5.3,5.4,"2",98
"732",5.5,5.2,"2",95
"733",6.1,5.8,"2",99
"734",5.8,5.4,"1",96
"735",6.3,5.9,"2",69
"736",6.4,6.5,"1",93
"737",4.9,5.3,"1",97
"738",6,5.8,"1",97
"739",6.5,5.9,"1",100
"740",6.4,6.4,"2",94
"741",6.8,6.7,"2",98
"742",6.7,6.6,"1",97
"743",6.8,6.8,"1",98
"744",6.2,6,"1",98
"745",6.6,6.4,"2",98
"746",5.8,5.8,"1",93
"747",6.3,6,"1",97
"748",6.8,6.4,"1",99
"749",6,6.3,"2",96
"750",6.2,6.7,"2",93
"751",5.8,5.9,"2",95
"752",5.4,4.6,"2",100
"753",5.2,5,"1",87
"754",5.3,5.4,"1",96
"755",6.8,6.7,"1",98
"756",5.6,6,"2",96
"757",6.8,6.6,"2",100
"758",6.4,6.5,"2",98
"759",5.6,5.5,"2",93
"760",6.2,6.2,"2",98
"761",4.6,3.4,"1",34
"762",5.1,6.4,"2",92
"763",5.7,5.8,"1",98
"764",5.4,6.1,"2",89
"765",6.5,6.6,"1",90
"766",5.6,5.3,"1",91
"767",4.7,5.2,"2",100
"768",5.3,6.7,"2",84
"769",6.4,5.9,"1",98
"770",6.5,6.6,"1",99
"771",4.5,5.3,"1",92
"772",5.3,4.9,"1",98
"773",6,5.9,"1",96
"774",5.6,5,"2",100
"775",5.3,5.9,"1",98
"776",6.7,6.5,"2",99
"777",5.7,5.6,"1",98
"778",5.9,5.6,"1",93
"779",4.9,5.1,"1",79
"780",6.2,6.1,"1",96
"781",6.3,6.4,"2",85
"782",5.9,5.7,"2",96
"783",6.2,5.5,"2",96
"784",6.2,6.5,"1",99
"785",6.3,5.3,"2",99
"786",5.7,5.7,"1",82
"787",4.8,5.3,"1",89
"788",5.5,5.6,"2",97
"789",6.5,6.7,"1",96
"790",5.4,5,"2",92
"791",5.8,6.2,"2",95
"792",5.3,4.7,"1",95
"793",5.2,4.9,"1",93
"794",5.1,4.4,"1",88
"795",4.6,5.2,"1",88
"796",5.5,5.8,"1",99
"797",5.1,5.1,"1",99
"798",5.1,5.2,"1",96
"799",5.1,5.1,"1",99
"800",6.5,5.9,"1",89
"801",6.3,6,"2",97
"802",5.3,4.8,"2",90
"803",4.9,5,"2",93
"804",5.7,5.6,"1",92
"805",5.1,5,"2",90
"806",5.2,5.3,"1",85
"807",4.9,5.5,"2",93
"808",5.3,5.1,"1",99
"809",5.6,6.2,"1",95
"810",5.7,5.6,"2",95
"811",5.2,5.1,"2",95
"812",6.4,6.7,"1",95
"813",5.7,6.4,"1",93
"814",5.6,4.4,"1",96
"815",6,6.2,"1",100
"816",4.7,4.9,"1",90
"817",6.6,6.5,"2",100
"818",6.9,7,"2",100
"819",5.1,5.3,"2",91
"820",5.5,6,"1",94
"821",5.5,5.5,"2",92
"822",5.6,5.5,"1",93
"823",4.9,4.9,"2",98
"824",4.5,5,"1",100
"825",6.6,6.6,"2",85
"826",6.1,6,"1",100
"827",6.8,6.8,"1",92
"828",5.6,5.8,"1",99
"829",5.2,5.2,"2",93
"830",5.5,5.7,"2",100
"831",5.3,5.5,"2",79
"832",5.1,6,"1",97
"833",5.2,4.5,"2",99
"834",4.9,5.6,"1",98
"835",5.7,6,"1",93
"836",6.5,5.5,"1",98
"837",6.7,6.8,"2",99
"838",6.8,6.8,"2",97
"839",4.6,4.6,"2",95
"840",5.4,5.2,"1",95
"841",6.1,6.1,"2",96
"842",5.6,5.2,"1",100
"843",5,4.1,"1",93
"844",6.2,6.4,"1",87
"845",5.9,5.4,"2",98
"846",5.1,3.6,"1",99
"847",5.7,5.8,"2",95
"848",5.7,5.7,"2",92
"849",5.4,5.4,"2",86
"850",6.6,6.1,"2",93
"851",6.2,5.8,"1",98
"852",6.1,6.4,"1",90
"853",5.8,5.9,"2",90
"854",5.4,5.5,"1",96
"855",5.3,5.3,"1",90
"856",6.4,6.4,"2",89
"857",5.1,5.4,"1",87
"858",6.4,6.2,"1",94
"859",5.9,5,"2",68
"860",6.3,6,"2",93
"861",5,5.5,"2",97
"862",4.8,5,"1",98
"863",5.3,5.2,"1",95
"864",4.9,4.9,"2",93
"865",5.8,5.5,"1",89
"866",5.3,5.4,"1",91
"867",6.3,5.6,"2",90
"868",5.6,5.8,"1",94
"869",6.8,7,"1",100
"870",6.9,6.9,"1",93
"871",6,6.2,"2",89
"872",5.2,5,"1",95
"873",5.5,5.5,"1",95
"874",6.1,6.1,"2",98
"875",6,5.8,"2",99
"876",5.3,5.6,"2",87
"877",6.4,6.2,"2",88
"878",6.3,5.8,"1",85
"879",5.5,5.4,"1",94
"880",6.3,6.3,"2",92
