"","COD_REG_RBD","RURAL_RBD","GEN_ALU","EDAD_ALU","PROM_GRAL","ASISTENCIA","CIENCIAS"
"461",13,0,1,19,5.8,99,"0"
"462",13,0,2,17,6.6,96,"0"
"463",5,0,2,17,5.6,85,"0"
"464",13,0,1,18,5.9,99,"0"
"465",7,0,2,17,5.6,93,"0"
"466",13,0,2,17,5,87,"0"
"467",13,0,2,17,5.4,79,"0"
"468",16,0,2,17,6.8,90,"0"
"469",13,0,1,18,5.4,86,"0"
"470",5,0,1,17,6.8,97,"0"
"471",2,0,1,17,5.3,92,"0"
"472",5,0,2,17,6.8,100,"0"
"473",13,0,2,19,4.8,84,"0"
"474",7,0,2,17,6.2,100,"0"
"475",3,0,1,17,6.5,99,"1"
"476",3,0,2,17,5.9,90,"0"
"477",13,0,1,17,5.1,93,"0"
"478",13,0,2,17,5.6,100,"0"
"479",16,0,2,17,5.8,90,"0"
"480",14,0,2,17,6.8,99,"0"
"481",5,0,2,17,7,90,"0"
"482",5,0,1,17,6.6,98,"0"
"483",13,0,1,17,5.8,86,"0"
"484",5,0,2,17,6.2,76,"0"
"485",7,0,1,18,5.7,96,"0"
"486",13,0,2,17,6.2,96,"0"
"487",13,0,2,17,5.8,79,"0"
"488",14,1,1,17,5.2,97,"0"
"489",13,0,1,18,6,91,"0"
"490",6,0,2,17,6.6,94,"0"
"491",13,0,2,19,5,87,"0"
"492",13,0,2,17,6.6,99,"0"
"493",6,0,1,30,5.7,100,"0"
"494",2,0,1,17,6.3,90,"0"
"495",4,0,2,17,6.8,100,"0"
"496",6,1,2,17,6.1,99,"0"
"497",5,0,2,47,6.6,92,"0"
"498",5,0,1,17,5.9,90,"0"
"499",13,0,1,17,5.7,87,"0"
"500",13,0,1,17,6.3,98,"0"
"501",9,0,1,17,6.1,91,"0"
"502",13,0,2,17,6.5,95,"0"
"503",7,0,2,17,6.1,89,"0"
"504",13,0,1,18,5.6,86,"0"
"505",13,0,2,17,6.3,97,"0"
"506",8,0,2,17,6.5,99,"0"
"507",6,0,2,17,5.5,98,"0"
"508",12,0,1,17,5.6,93,"0"
"509",13,0,1,17,5.1,87,"0"
"510",5,0,2,18,5.9,83,"0"
"511",5,0,2,17,5.9,85,"0"
"512",8,0,2,17,6.1,100,"0"
"513",8,0,2,17,6.8,94,"0"
"514",13,0,1,17,6.1,93,"0"
"515",13,0,2,17,6,93,"0"
"516",13,0,1,17,6,87,"0"
"517",13,0,2,18,6.2,89,"0"
"518",7,0,2,17,6.9,94,"0"
"519",3,0,1,18,5.4,96,"0"
"520",13,0,1,17,5,93,"0"
"521",13,1,2,17,6.6,95,"0"
"522",13,0,1,17,5.1,99,"0"
"523",8,0,2,17,6.9,77,"0"
"524",13,0,1,17,5.4,99,"0"
"525",11,0,2,22,5,93,"0"
"526",10,0,2,18,5.7,93,"0"
"527",2,0,2,18,5.3,90,"0"
"528",12,0,1,17,6.9,84,"0"
"529",13,0,2,17,5.6,91,"0"
"530",5,0,2,17,6.9,97,"0"
"531",13,0,1,24,6.4,96,"0"
"532",9,0,1,19,5.7,100,"0"
"533",2,0,1,17,6.2,95,"0"
"534",13,0,1,17,5.4,95,"0"
"535",5,0,2,17,6.5,100,"0"
"536",5,0,2,17,6,95,"0"
"537",8,0,1,17,6.2,90,"0"
"538",7,0,2,17,6.8,99,"0"
"539",5,0,2,17,5.9,96,"0"
"540",8,0,1,17,6.3,95,"0"
"541",10,0,2,17,6.3,98,"0"
"542",10,0,2,17,6.4,99,"0"
"543",5,0,2,17,6.1,95,"0"
"544",13,0,1,17,6.8,89,"1"
"545",8,0,1,17,5.2,94,"0"
"546",13,0,1,17,5.3,92,"0"
"547",13,0,1,17,6.7,96,"0"
"548",5,0,1,18,5.4,72,"0"
"549",8,0,2,17,6.2,95,"0"
"550",8,0,2,17,5.1,60,"0"
"551",5,0,1,17,6,100,"0"
"552",9,0,1,17,6,90,"1"
"553",5,0,1,18,6.7,100,"0"
"554",7,0,2,17,6.5,98,"0"
"555",13,0,2,18,5.1,74,"0"
"556",5,0,2,16,4.9,97,"0"
"557",10,0,2,17,5.8,98,"0"
"558",4,0,2,17,6.5,98,"0"
"559",13,0,2,17,6.5,98,"0"
"560",5,0,1,17,6.5,90,"0"
"561",13,0,2,18,5.2,83,"0"
"562",10,0,1,18,6.2,100,"0"
"563",5,0,1,17,5.3,99,"0"
"564",2,0,2,17,6.1,95,"0"
"565",13,0,2,18,5.5,85,"0"
"566",16,0,2,17,6.7,100,"0"
"567",16,0,2,17,6.6,96,"0"
"568",13,0,2,17,6.4,31,"0"
"569",13,0,2,17,6.4,31,"0"
"570",13,0,2,17,6.4,31,"0"
"571",13,0,2,17,6.4,31,"0"
"572",7,0,2,17,6.2,88,"0"
"573",16,0,1,17,6.1,96,"0"
"574",13,0,2,17,6.6,100,"0"
"575",13,0,1,18,6.2,91,"0"
"576",12,0,1,18,5.9,79,"0"
"577",5,0,1,17,5.8,95,"0"
"578",5,0,2,17,6.4,81,"0"
"579",10,0,2,18,5.2,97,"0"
"580",2,0,2,17,6.3,91,"0"
"581",13,0,1,17,5.7,97,"0"
"582",13,0,1,17,5.7,97,"0"
"583",13,0,2,17,6.5,95,"0"
"584",13,0,1,17,5.9,97,"0"
"585",13,0,2,18,5.4,91,"0"
"586",4,0,2,17,6.2,90,"0"
"587",13,0,2,18,6.8,90,"0"
"588",8,1,1,17,5.3,85,"0"
"589",13,0,2,18,5.2,84,"0"
"590",2,0,1,19,5.4,100,"0"
"591",11,0,2,17,5.9,100,"1"
"592",13,0,2,18,7,92,"0"
"593",5,0,1,17,6.6,95,"0"
"594",7,0,1,18,6.9,100,"0"
"595",4,0,2,29,6.1,80,"0"
"596",5,0,2,18,6.6,88,"0"
"597",13,0,2,18,6.1,96,"0"
"598",7,0,2,17,6.5,84,"0"
"599",13,0,1,17,5.7,94,"0"
"600",8,0,1,17,6.4,88,"0"
"601",8,0,1,17,6.3,99,"0"
"602",3,0,2,31,6.7,86,"0"
"603",4,0,2,17,5.7,96,"0"
"604",8,0,1,17,6.4,97,"0"
"605",12,0,1,19,6.2,90,"0"
"606",4,0,2,17,6.5,97,"0"
"607",4,0,2,17,6.3,92,"0"
"608",9,0,2,21,6.2,100,"0"
"609",1,0,2,17,6.2,87,"0"
"610",6,0,1,17,5.2,91,"0"
"611",6,0,2,17,5.6,78,"0"
"612",13,0,1,17,5.2,89,"0"
"613",3,0,2,19,5,84,"0"
"614",13,0,2,17,5.6,96,"0"
"615",13,0,1,17,5.4,100,"0"
"616",13,0,2,17,6.7,97,"0"
"617",2,0,2,33,6.2,96,"0"
"618",16,0,2,17,6.6,98,"0"
"619",13,0,2,18,6,93,"0"
"620",8,1,2,17,6,91,"0"
"621",4,0,2,17,6,95,"0"
"622",13,0,1,17,5.6,77,"0"
"623",10,0,2,18,6,85,"0"
"624",5,0,2,17,5.1,92,"0"
"625",2,0,1,18,5.1,91,"0"
"626",13,0,2,16,5.9,100,"0"
"627",13,0,2,17,6.5,88,"0"
"628",9,0,2,17,5.7,92,"0"
"629",9,0,2,17,5.7,98,"0"
"630",5,0,1,17,6.6,98,"0"
"631",8,0,1,17,6.2,95,"0"
"632",9,0,2,17,5.3,94,"0"
"633",8,0,1,17,5.2,84,"1"
"634",6,0,2,17,6.2,96,"0"
"635",13,0,2,18,5.7,95,"0"
"636",13,0,2,35,5.3,90,"0"
"637",13,0,1,17,5.7,92,"0"
"638",13,0,2,17,6.6,93,"0"
"639",13,0,2,17,5.3,87,"0"
"640",3,0,2,17,6,94,"0"
"641",13,0,1,17,6.1,88,"0"
"642",5,0,1,17,5.2,92,"0"
"643",9,0,2,17,6.4,97,"0"
"644",9,0,2,17,6.4,96,"0"
"645",3,0,2,17,6.3,87,"0"
"646",5,0,2,17,6.8,85,"0"
"647",16,0,2,18,5.8,92,"0"
"648",2,0,1,18,5.4,98,"0"
"649",13,0,2,17,6.8,61,"0"
"650",13,0,2,16,6,92,"0"
"651",9,0,1,17,6.6,93,"1"
"652",15,0,2,17,6.6,92,"0"
"653",15,0,2,17,6.4,87,"0"
"654",13,0,2,17,6.7,89,"0"
"655",7,0,1,18,4.9,94,"0"
"656",2,0,2,17,6.4,96,"0"
